english	japanese	quiz_mode	source_word_id	source_word	scope	evidence	confidence	lookup_key
highest	最も高い				COMMON	Distractor Frequency	HIGH	highest_COMMON_0
him	彼を				COMMON	Distractor Frequency	HIGH	him_COMMON_0
his	彼の				COMMON	Distractor Frequency	HIGH	his_COMMON_0
hit	たたく				COMMON	Distractor Frequency	HIGH	hit_COMMON_0
hope that ~	～ということを望んでいる				COMMON	Distractor Frequency	HIGH	hope that ~_COMMON_0
horn	角				COMMON	Distractor Frequency	HIGH	horn_COMMON_0
hot water	湯				COMMON	Distractor Frequency	HIGH	hot water_COMMON_0
How big is ~?	～はどのくらい大きいですか				COMMON	Distractor Frequency	HIGH	how big is ~?_COMMON_0
How deep is ~?	～はどのくらい深いですか				COMMON	Distractor Frequency	HIGH	how deep is ~?_COMMON_0
How heavy is ~?	～はどのくらい重いですか				COMMON	Distractor Frequency	HIGH	how heavy is ~?_COMMON_0
How high is ~?	～はどのくらい高いですか				COMMON	Distractor Frequency	HIGH	how high is ~?_COMMON_0
how many	いくつ				COMMON	Distractor Frequency	HIGH	how many_COMMON_0
How many minutes to the station?	駅まで何分ですか				COMMON	Distractor Frequency	HIGH	how many minutes to the station?_COMMON_0
How many people?	何名様ですか				COMMON	Distractor Frequency	HIGH	how many people?_COMMON_0
how much	いくら				COMMON	Distractor Frequency	HIGH	how much_COMMON_0
How much is it?	いくらですか？				COMMON	Distractor Frequency	HIGH	how much is it?_COMMON_0
How much is that one?	あれはいくらですか				COMMON	Distractor Frequency	HIGH	how much is that one?_COMMON_0
How much is this?	これはいくらですか				COMMON	Distractor Frequency	HIGH	how much is this?_COMMON_0
How much will you pay?	いくら払いますか？				COMMON	Distractor Frequency	HIGH	how much will you pay?_COMMON_0
How old are you?	何歳ですか				COMMON	Distractor Frequency	HIGH	how old are you?_COMMON_0
How shall we go home?	どうやって帰りましょうか				COMMON	Distractor Frequency	HIGH	how shall we go home?_COMMON_0
hundred thousand	10万				COMMON	Distractor Frequency	HIGH	hundred thousand_COMMON_0
hurry ~	～を急がせる				COMMON	Distractor Frequency	HIGH	hurry ~_COMMON_0
Hurry up.	急いでください				COMMON	Distractor Frequency	HIGH	hurry up._COMMON_0
Hurry.	急いでください				COMMON	Distractor Frequency	HIGH	hurry._COMMON_0
I am free now.	今はひまです				COMMON	Distractor Frequency	HIGH	i am free now._COMMON_0
I am going to ~.	〜するつもりです				COMMON	Distractor Frequency	HIGH	i am going to ~._COMMON_0
I am hungry.	おなかがすいています				COMMON	Manual Analysis	HIGH	i am hungry._COMMON_0
I am sorry.	すみません。				COMMON	Distractor Frequency	HIGH	i am sorry._COMMON_0
I came to see you.	あなたに会いに来ました				COMMON	Manual Analysis	HIGH	i came to see you._COMMON_0
I can ~.	〜できます				COMMON	Distractor Frequency	HIGH	i can ~._COMMON_0
I don't know.	わかりません				COMMON	Distractor Frequency	HIGH	i don't know._COMMON_0
I feel very well.	とても元気です				COMMON	Distractor Frequency	HIGH	i feel very well._COMMON_0
I go to ~.	〜へ行く				COMMON	Distractor Frequency	HIGH	i go to ~._COMMON_0
I have a new bag.	もう一度見せて				COMMON	Distractor Frequency	HIGH	i have a new bag._COMMON_0
I have to ~.	〜しなければならない				COMMON	Distractor Frequency	HIGH	i have to ~._COMMON_0
I know ~.	〜を知っている				COMMON	Distractor Frequency	HIGH	i know ~._COMMON_0
I like ~.	～が好きです				COMMON	Distractor Frequency	HIGH	i like ~._COMMON_0
I love it.	それが大好きです				COMMON	Distractor Frequency	HIGH	i love it._COMMON_0
I must ~.	～しなければならない				COMMON	Distractor Frequency	HIGH	i must ~._COMMON_0
I must not ~.	〜してはいけない				COMMON	Distractor Frequency	HIGH	i must not ~._COMMON_0
I want ~.	〜がほしい				COMMON	Distractor Frequency	HIGH	i want ~._COMMON_0
I want to ~.	〜したいです				COMMON	Distractor Frequency	HIGH	i want to ~._COMMON_0
I want to go to the station.	駅に行きたいです				COMMON	Distractor Frequency	HIGH	i want to go to the station._COMMON_0
I was ~.	～していました				COMMON	Distractor Frequency	HIGH	i was ~._COMMON_0
I will ~.	〜するつもりです				COMMON	Distractor Frequency	HIGH	i will ~._COMMON_0
I will call later.	あとで電話します				COMMON	Distractor Frequency	HIGH	i will call later._COMMON_0
I will go soon.	すぐに行きます				COMMON	Distractor Frequency	HIGH	i will go soon._COMMON_0
I'll	私は〜するつもりです				COMMON	Distractor Frequency	HIGH	i'll_COMMON_0
I'll call back later.	少々失礼します				COMMON	Distractor Frequency	HIGH	i'll call back later._COMMON_0
I'll help you.	手伝います				COMMON	Distractor Frequency	HIGH	i'll help you._COMMON_0
I'll visit you.	会いに行きます				COMMON	Distractor Frequency	HIGH	i'll visit you._COMMON_0
I'll wait for you.	待ちます				COMMON	Distractor Frequency	HIGH	i'll wait for you._COMMON_0
I'll write to you.	手紙を書きます				COMMON	Distractor Frequency	HIGH	i'll write to you._COMMON_0
I'm	私は〜です				COMMON	Distractor Frequency	HIGH	i'm_COMMON_0
I'm angry.	私は怒っています				COMMON	Distractor Frequency	HIGH	i'm angry._COMMON_0
I'm busy.	急いでいます				COMMON	Distractor Frequency	HIGH	i'm busy._COMMON_0
I'm coming here.	ここに来るところです				COMMON	Distractor Frequency	HIGH	i'm coming here._COMMON_0
I'm fine.	私は元気です				COMMON	Distractor Frequency	HIGH	i'm fine._COMMON_0
I'm glad to see you again.	また会えてうれしいです				COMMON	Distractor Frequency	HIGH	i'm glad to see you again._COMMON_0
I'm going out.	外出するところです				COMMON	Distractor Frequency	HIGH	i'm going out._COMMON_0
I'm going to bed.	寝るところです				COMMON	Distractor Frequency	HIGH	i'm going to bed._COMMON_0
I'm going to school.	学校へ行くところです				COMMON	Distractor Frequency	HIGH	i'm going to school._COMMON_0
I'm happy to help you.	お手伝いできてうれしいです				COMMON	Manual Analysis	HIGH	i'm happy to help you._COMMON_0
I'm happy to talk with you.	お話しできてうれしいです				COMMON	Manual Analysis	HIGH	i'm happy to talk with you._COMMON_0
I'm happy.	私はうれしいです				COMMON	Manual Analysis	HIGH	i'm happy._COMMON_0
I'm hungry.	おなかがすいています				COMMON	Manual Analysis	HIGH	i'm hungry._COMMON_0
I'm sleepy.	私は眠いです				COMMON	Manual Analysis	HIGH	i'm sleepy._COMMON_0
I'm tired.	疲れています				COMMON	Distractor Frequency	HIGH	i'm tired._COMMON_0
I'm worried.	心配しています				COMMON	Distractor Frequency	HIGH	i'm worried._COMMON_0
in ~	〜の中に				COMMON	Distractor Frequency	HIGH	in ~_COMMON_0
in front of	〜の前に				COMMON	Distractor Frequency	HIGH	in front of_COMMON_0
in front of the school	学校の前に				COMMON	Distractor Frequency	HIGH	in front of the school_COMMON_0
in Japan	国内で				COMMON	Distractor Frequency	HIGH	in japan_COMMON_0
in the afternoon	午後に				COMMON	Distractor Frequency	HIGH	in the afternoon_COMMON_0
in the evening	夕方に				COMMON	Distractor Frequency	HIGH	in the evening_COMMON_0
in the house	家の中で				COMMON	Distractor Frequency	HIGH	in the house_COMMON_0
in the middle of ~	〜の途中で				COMMON	Distractor Frequency	HIGH	in the middle of ~_COMMON_0
in the store	店で				COMMON	Distractor Frequency	HIGH	in the store_COMMON_0
index finger	人さし指				COMMON	Distractor Frequency	HIGH	index finger_COMMON_0
injection	注射				COMMON	Distractor Frequency	HIGH	injection_COMMON_0
inside	中で				COMMON	Distractor Frequency	HIGH	inside_COMMON_0
inside ~	〜の中に				COMMON	Distractor Frequency	HIGH	inside ~_COMMON_0
introduce ~	～を紹介する				COMMON	Distractor Frequency	HIGH	introduce ~_COMMON_0
invite	招待する				COMMON	Distractor Frequency	HIGH	invite_COMMON_0
invite ~	～を招待する				COMMON	Distractor Frequency	HIGH	invite ~_COMMON_0
invite A	Aを招待する				COMMON	Distractor Frequency	HIGH	invite a_COMMON_0
Is it cold outside?	外は寒いですか。				COMMON	Distractor Frequency	HIGH	is it cold outside?_COMMON_0
Is it dark outside?	外は暗いですか。				COMMON	Distractor Frequency	HIGH	is it dark outside?_COMMON_0
Is it quiet outside?	外は静かですか。				COMMON	Distractor Frequency	HIGH	is it quiet outside?_COMMON_0
Is it sunny outside?	外は晴れですか。				COMMON	Distractor Frequency	HIGH	is it sunny outside?_COMMON_0
Is that true?	本当ですか				COMMON	Distractor Frequency	HIGH	is that true?_COMMON_0
Is the station near here?	駅は近いですか				COMMON	Distractor Frequency	HIGH	is the station near here?_COMMON_0
Is this seat free?	席は空いていますか				COMMON	Distractor Frequency	HIGH	is this seat free?_COMMON_0
Is this station new?	この駅は新しいですか				COMMON	Distractor Frequency	HIGH	is this station new?_COMMON_0
It is hot today.	今日は暑いです				COMMON	Distractor Frequency	HIGH	it is hot today._COMMON_0
It is interesting.	それはおもしろいです				COMMON	Distractor Frequency	HIGH	it is interesting._COMMON_0
It looks difficult.	難しそうです				COMMON	Distractor Frequency	HIGH	it looks difficult._COMMON_0
It looks expensive.	高そうです				COMMON	Distractor Frequency	HIGH	it looks expensive._COMMON_0
It looks interesting.	おもしろそうです				COMMON	Distractor Frequency	HIGH	it looks interesting._COMMON_0
It looks new.	新しそうです				COMMON	Distractor Frequency	HIGH	it looks new._COMMON_0
It was rainy yesterday.	昨日は雨でした				COMMON	Distractor Frequency	HIGH	it was rainy yesterday._COMMON_0
It will be sunny tomorrow.	明日は晴れです				COMMON	Distractor Frequency	HIGH	it will be sunny tomorrow._COMMON_0
Italian	イタリア語				COMMON	Distractor Frequency	HIGH	italian_COMMON_0
It's OK.	大丈夫です				COMMON	Distractor Frequency	HIGH	it's ok._COMMON_0
jaw	あご				COMMON	Distractor Frequency	HIGH	jaw_COMMON_0
join ~	～に参加する				COMMON	Distractor Frequency	HIGH	join ~_COMMON_0
keep doing	〜し続ける				COMMON	Distractor Frequency	HIGH	keep doing_COMMON_0
Ken	ケン				COMMON	Distractor Frequency	HIGH	ken_COMMON_0
keyboard	鍵盤				COMMON	Distractor Frequency	HIGH	keyboard_COMMON_0
kilo	キロ				COMMON	Distractor Frequency	HIGH	kilo_COMMON_0
kindergarten	幼稚園				COMMON	Manual Analysis	HIGH	kindergarten_COMMON_0
kitten	子猫				COMMON	Distractor Frequency	HIGH	kitten_COMMON_0
knight	騎士				COMMON	Distractor Frequency	HIGH	knight_COMMON_0
knock	たたく				COMMON	Distractor Frequency	HIGH	knock_COMMON_0
know ~	～を知っている				COMMON	Distractor Frequency	HIGH	know ~_COMMON_0
know about ~	〜を知っている				COMMON	Distractor Frequency	HIGH	know about ~_COMMON_0
Kobe	神戸				COMMON	Distractor Frequency	HIGH	kobe_COMMON_0
Korea	韓国				COMMON	Distractor Frequency	HIGH	korea_COMMON_0
last month	先月				COMMON	Distractor Frequency	HIGH	last month_COMMON_0
leave ~	～を出発する				COMMON	Distractor Frequency	HIGH	leave ~_COMMON_0
leave there	そこを出る				COMMON	Distractor Frequency	HIGH	leave there_COMMON_0
lemon	レモン				COMMON	Distractor Frequency	HIGH	lemon_COMMON_0
lend A B	AにBを貸す				COMMON	Distractor Frequency	HIGH	lend a b_COMMON_0
Let's play after school.	今日はとても暑い				COMMON	Distractor Frequency	HIGH	let's play after school._COMMON_0
lid	ふた				COMMON	Distractor Frequency	HIGH	lid_COMMON_0
lift ~	～を持ち上げる				COMMON	Distractor Frequency	HIGH	lift ~_COMMON_0
like ~	～が好きである				COMMON	Distractor Frequency	HIGH	like ~_COMMON_0
lily	ユリ				COMMON	Distractor Frequency	HIGH	lily_COMMON_0
line ~ up	並べる				COMMON	Distractor Frequency	HIGH	line ~ up_COMMON_0
lip	唇				COMMON	Distractor Frequency	HIGH	lip_COMMON_0
listen to music	音楽を聞く				COMMON	Distractor Frequency	HIGH	listen to music_COMMON_0
liter	リットル				COMMON	Distractor Frequency	HIGH	liter_COMMON_0
little finger	小指				COMMON	Distractor Frequency	HIGH	little finger_COMMON_0
live in	〜に住んでいる				COMMON	Distractor Frequency	HIGH	live in_COMMON_0
live there	そこに住む				COMMON	Distractor Frequency	HIGH	live there_COMMON_0
lively	にぎやかな				COMMON	Distractor Frequency	HIGH	lively_COMMON_0
lizard	とかげ				COMMON	Distractor Frequency	HIGH	lizard_COMMON_0
long ago	昔				COMMON	Distractor Frequency	HIGH	long ago_COMMON_0
longer	より長い				COMMON	Distractor Frequency	HIGH	longer_COMMON_0
longest	最も長い				COMMON	Distractor Frequency	HIGH	longest_COMMON_0
Look.	見て				COMMON	Distractor Frequency	HIGH	look._COMMON_0
lukewarm	ぬるい				COMMON	Distractor Frequency	HIGH	lukewarm_COMMON_0
lunar	月の				COMMON	Distractor Frequency	HIGH	lunar_COMMON_0
made	作った				COMMON	Distractor Frequency	HIGH	made_COMMON_0
magic	魔法				COMMON	Distractor Frequency	HIGH	magic_COMMON_0
make ~	～を作る				COMMON	Distractor Frequency	HIGH	make ~_COMMON_0
make a call	電話をかける				COMMON	Distractor Frequency	HIGH	make a call_COMMON_0
make a promise	約束をする				COMMON	Distractor Frequency	HIGH	make a promise_COMMON_0
make breakfast	朝ごはんを作る				COMMON	Distractor Frequency	HIGH	make breakfast_COMMON_0
May I have some water?	お水をください				COMMON	Distractor Frequency	HIGH	may i have some water?_COMMON_0
May I have your name?	お名前を伺ってもよいですか				COMMON	Distractor Frequency	HIGH	may i have your name?_COMMON_0
Maybe.	たぶんそうです				COMMON	Distractor Frequency	HIGH	maybe._COMMON_0
meet ~	～に会う				COMMON	Distractor Frequency	HIGH	meet ~_COMMON_0
memorize ~	覚える				COMMON	Distractor Frequency	HIGH	memorize ~_COMMON_0
middle finger	中指				COMMON	Distractor Frequency	HIGH	middle finger_COMMON_0
Mike	マイク				COMMON	Distractor Frequency	HIGH	mike_COMMON_0
mile	マイル				COMMON	Distractor Frequency	HIGH	mile_COMMON_0
millimeter	ミリメートル				COMMON	Distractor Frequency	HIGH	millimeter_COMMON_0
miss ~	～を欠席する				COMMON	Distractor Frequency	HIGH	miss ~_COMMON_0
mix A with B	AとBを混ぜる				COMMON	Distractor Frequency	HIGH	mix a with b_COMMON_0
mom	お母さん				COMMON	Distractor Frequency	HIGH	mom_COMMON_0
more ... than ~	…よりもっと～				COMMON	Distractor Frequency	HIGH	more ... than ~_COMMON_0
motorcycle	バイク				COMMON	Distractor Frequency	HIGH	motorcycle_COMMON_0
move ~	～を動かす				COMMON	Distractor Frequency	HIGH	move ~_COMMON_0
Mr.	～氏、～さん（男性）				COMMON	Distractor Frequency	HIGH	mr._COMMON_0
music lesson	音楽の授業				COMMON	Distractor Frequency	HIGH	music lesson_COMMON_0
Must I ~?	〜しなければなりません				COMMON	Distractor Frequency	HIGH	must i ~?_COMMON_0
must not	〜してはいけない				COMMON	Distractor Frequency	HIGH	must not_COMMON_0
must not do	～してはいけない				COMMON	Distractor Frequency	HIGH	must not do_COMMON_0
Must we ~?	〜しなければなりませんか				COMMON	Distractor Frequency	HIGH	must we ~?_COMMON_0
myself	私自身				COMMON	Distractor Frequency	HIGH	myself_COMMON_0
Nagoya	名古屋				COMMON	Distractor Frequency	HIGH	nagoya_COMMON_0
name of ~	～の名前				COMMON	Distractor Frequency	HIGH	name of ~_COMMON_0
Nancy	ナンシー				COMMON	Distractor Frequency	HIGH	nancy_COMMON_0
Nara	奈良				COMMON	Distractor Frequency	HIGH	nara_COMMON_0
near ~	〜の近くに				COMMON	Distractor Frequency	HIGH	near ~_COMMON_0
near you	近くに				COMMON	Distractor Frequency	HIGH	near you_COMMON_0
need ~	～を必要としている				COMMON	Distractor Frequency	HIGH	need ~_COMMON_0
need help	手伝いが必要だ				COMMON	Distractor Frequency	HIGH	need help_COMMON_0
nephew	おい				COMMON	Distractor Frequency	HIGH	nephew_COMMON_0
net	ネット				COMMON	Distractor Frequency	HIGH	net_COMMON_0
New Year's Day	お正月				COMMON	Distractor Frequency	HIGH	new year's day_COMMON_0
newest	最も新しい				COMMON	Distractor Frequency	HIGH	newest_COMMON_0
next year	来年				COMMON	Distractor Frequency	HIGH	next year_COMMON_0
Nice to meet you.	はじめまして				COMMON	Distractor Frequency	HIGH	nice to meet you._COMMON_0
Nice weather!	よい天気ですね				COMMON	Distractor Frequency	HIGH	nice weather!_COMMON_0
niece	めい				COMMON	Distractor Frequency	HIGH	niece_COMMON_0
no ~	まったくない～				COMMON	Distractor Frequency	HIGH	no ~_COMMON_0
no one	だれも〜ない				COMMON	Distractor Frequency	HIGH	no one_COMMON_0
No way.	だめです				COMMON	Distractor Frequency	HIGH	no way._COMMON_0
nobody	だれも～ない				COMMON	Distractor Frequency	HIGH	nobody_COMMON_0
none	何もない				COMMON	Distractor Frequency	HIGH	none_COMMON_0
noon	正午				COMMON	Distractor Frequency	HIGH	noon_COMMON_0
not as ~ as ...	…ほど～でない				COMMON	Distractor Frequency	HIGH	not as ~ as ..._COMMON_0
not at all	まったく～ない				COMMON	Distractor Frequency	HIGH	not at all_COMMON_0
octopus	タコ				COMMON	Distractor Frequency	HIGH	octopus_COMMON_0
Of course.	もちろんです				COMMON	Distractor Frequency	HIGH	of course._COMMON_0
on ~	～の上に				COMMON	Distractor Frequency	HIGH	on ~_COMMON_0
on Friday	金曜日に				COMMON	Distractor Frequency	HIGH	on friday_COMMON_0
on Monday	月曜日に				COMMON	Distractor Frequency	HIGH	on monday_COMMON_0
on Saturday	土曜日に				COMMON	Distractor Frequency	HIGH	on saturday_COMMON_0
on the last day	最終日に				COMMON	Distractor Frequency	HIGH	on the last day_COMMON_0
on the road	道の上で				COMMON	Distractor Frequency	HIGH	on the road_COMMON_0
on Tuesday	火曜日に				COMMON	Distractor Frequency	HIGH	on tuesday_COMMON_0
on Wednesday	水曜日に				COMMON	Distractor Frequency	HIGH	on wednesday_COMMON_0
on weekdays	平日に				COMMON	Distractor Frequency	HIGH	on weekdays_COMMON_0
once a day	1日に1回				COMMON	Distractor Frequency	HIGH	once a day_COMMON_0
Once more.	もう一度				COMMON	Distractor Frequency	HIGH	once more._COMMON_0
one item	一個				COMMON	Distractor Frequency	HIGH	one item_COMMON_0
one of ~	ひとつ				COMMON	Distractor Frequency	HIGH	one of ~_COMMON_0
onto	〜の上に				COMMON	Distractor Frequency	HIGH	onto_COMMON_0
open	開ける				COMMON	Distractor Frequency	HIGH	open_COMMON_0
open ~	～を開ける				COMMON	Distractor Frequency	HIGH	open ~_COMMON_0
open A	Aを開ける				COMMON	Distractor Frequency	HIGH	open a_COMMON_0
orange juice	オレンジジュース				COMMON	Distractor Frequency	HIGH	orange juice_COMMON_0
order	注文				COMMON	Distractor Frequency	HIGH	order_COMMON_0
order A to do	Aに～するよう命じる				COMMON	Distractor Frequency	HIGH	order a to do_COMMON_0
outside ~	～の外に				COMMON	Distractor Frequency	HIGH	outside ~_COMMON_0
over ~	～の上に				COMMON	Distractor Frequency	HIGH	over ~_COMMON_0
P.E. lesson	体育の授業				COMMON	Distractor Frequency	HIGH	p.e. lesson_COMMON_0
p.m.	午後				COMMON	Distractor Frequency	HIGH	p.m._COMMON_0
painter	画家				COMMON	Distractor Frequency	HIGH	painter_COMMON_0
pan	なべ				COMMON	Distractor Frequency	HIGH	pan_COMMON_0
Paris	パリ				COMMON	Distractor Frequency	HIGH	paris_COMMON_0
pass ~	～を通り過ぎる				COMMON	Distractor Frequency	HIGH	pass ~_COMMON_0
pass through ~	～を通る				COMMON	Distractor Frequency	HIGH	pass through ~_COMMON_0
past	過去				COMMON	Distractor Frequency	HIGH	past_COMMON_0
pear	なし				COMMON	Distractor Frequency	HIGH	pear_COMMON_0
pencil case	筆箱				COMMON	Distractor Frequency	HIGH	pencil case_COMMON_0
peninsula	半島				COMMON	Distractor Frequency	HIGH	peninsula_COMMON_0
phone number	電話番号				COMMON	Distractor Frequency	HIGH	phone number_COMMON_0
pick A up at B	AをBまで迎えに行く				COMMON	Distractor Frequency	HIGH	pick a up at b_COMMON_0
pick up	拾う				COMMON	Distractor Frequency	HIGH	pick up_COMMON_0
pigeon	はと				COMMON	Distractor Frequency	HIGH	pigeon_COMMON_0
plan ~	～を計画する				COMMON	Distractor Frequency	HIGH	plan ~_COMMON_0
play in the park	公園で遊ぶ				COMMON	Distractor Frequency	HIGH	play in the park_COMMON_0
play outside	外で遊んでいる				COMMON	Distractor Frequency	HIGH	play outside_COMMON_0
play soccer	サッカーをする				COMMON	Distractor Frequency	HIGH	play soccer_COMMON_0
play tennis	テニスをする				COMMON	Distractor Frequency	HIGH	play tennis_COMMON_0
play with ~	～を見る				COMMON	Distractor Frequency	HIGH	play with ~_COMMON_0
Please call back later.	後でかけ直してください				COMMON	Distractor Frequency	HIGH	please call back later._COMMON_0
Please come here.	ここに来てください				COMMON	Distractor Frequency	HIGH	please come here._COMMON_0
Please help me.	手伝ってください				COMMON	Distractor Frequency	HIGH	please help me._COMMON_0
Please hold on.	少々お待ちください				COMMON	Distractor Frequency	HIGH	please hold on._COMMON_0
Please open the window.	今すぐ始めなさい				COMMON	Distractor Frequency	HIGH	please open the window._COMMON_0
Please read the book.	本を読んでください				COMMON	Distractor Frequency	HIGH	please read the book._COMMON_0
Please say it again.	もう一度言ってください				COMMON	Distractor Frequency	HIGH	please say it again._COMMON_0
Please say that again.	もう一度言ってください				COMMON	Distractor Frequency	HIGH	please say that again._COMMON_0
Please sit here.	ここにすわってください				COMMON	Distractor Frequency	HIGH	please sit here._COMMON_0
Please speak slowly.	ゆっくり話してください				COMMON	Distractor Frequency	HIGH	please speak slowly._COMMON_0
Please wait a minute.	少し待ってください				COMMON	Distractor Frequency	HIGH	please wait a minute._COMMON_0
Please write your name.	名前を書いてください				COMMON	Distractor Frequency	HIGH	please write your name._COMMON_0
pony	子馬				COMMON	Distractor Frequency	HIGH	pony_COMMON_0
pound	ポンド				COMMON	Distractor Frequency	HIGH	pound_COMMON_0
practice ~	～を練習する				COMMON	Distractor Frequency	HIGH	practice ~_COMMON_0
practice doing	～する練習をする				COMMON	Distractor Frequency	HIGH	practice doing_COMMON_0
practice with A	Aと練習する				COMMON	Distractor Frequency	HIGH	practice with a_COMMON_0
praise A	Aをほめる				COMMON	Distractor Frequency	HIGH	praise a_COMMON_0
prepare ~	～を準備する				COMMON	Distractor Frequency	HIGH	prepare ~_COMMON_0
price list	値段表				COMMON	Distractor Frequency	HIGH	price list_COMMON_0
promise	約束				COMMON	Distractor Frequency	HIGH	promise_COMMON_0
promise ~	～を約束する				COMMON	Distractor Frequency	HIGH	promise ~_COMMON_0
protect	守る				COMMON	Distractor Frequency	HIGH	protect_COMMON_0
protect ~	～を守る				COMMON	Distractor Frequency	HIGH	protect ~_COMMON_0
pudding	プリン				COMMON	Distractor Frequency	HIGH	pudding_COMMON_0
pull ~	～を引く				COMMON	Distractor Frequency	HIGH	pull ~_COMMON_0
push ~	～を押す				COMMON	Distractor Frequency	HIGH	push ~_COMMON_0
put down ~	置く				COMMON	Distractor Frequency	HIGH	put down ~_COMMON_0
put on	～の上に置く				COMMON	Distractor Frequency	HIGH	put on_COMMON_0
put on my clothes	服を着る				COMMON	Distractor Frequency	HIGH	put on my clothes_COMMON_0
quilt	ふとん				COMMON	Distractor Frequency	HIGH	quilt_COMMON_0
Quite new.	かなり新しい				COMMON	Distractor Frequency	HIGH	quite new._COMMON_0
rainy season	梅雨				COMMON	Distractor Frequency	HIGH	rainy season_COMMON_0
reach	届く				COMMON	Distractor Frequency	HIGH	reach_COMMON_0
read ~	～を読む				COMMON	Distractor Frequency	HIGH	read ~_COMMON_0
read a book	本を読む				COMMON	Distractor Frequency	HIGH	read a book_COMMON_0
read aloud	読み上げる				COMMON	Distractor Frequency	HIGH	read aloud_COMMON_0
reader	読者				COMMON	Distractor Frequency	HIGH	reader_COMMON_0
reading	読書				COMMON	Distractor Frequency	HIGH	reading_COMMON_0
Really?	本当ですか				COMMON	Distractor Frequency	HIGH	really?_COMMON_0
rectangle	長方形				COMMON	Distractor Frequency	HIGH	rectangle_COMMON_0
referee	審判				COMMON	Distractor Frequency	HIGH	referee_COMMON_0
refuse A	Aを断る				COMMON	Distractor Frequency	HIGH	refuse a_COMMON_0
relatives	親戚				COMMON	Distractor Frequency	HIGH	relatives_COMMON_0
relaxed	安心した				COMMON	Distractor Frequency	HIGH	relaxed_COMMON_0
remember ~	～を覚えている				COMMON	Distractor Frequency	HIGH	remember ~_COMMON_0
repair ~	～を修理する				COMMON	Distractor Frequency	HIGH	repair ~_COMMON_0
repair A	Aを修理する				COMMON	Distractor Frequency	HIGH	repair a_COMMON_0
return to ~	～に戻る				COMMON	Distractor Frequency	HIGH	return to ~_COMMON_0
ring finger	薬指				COMMON	Distractor Frequency	HIGH	ring finger_COMMON_0
room number	部屋番号				COMMON	Distractor Frequency	HIGH	room number_COMMON_0
run fast	早く走る				COMMON	Distractor Frequency	HIGH	run fast_COMMON_0
run to ~	～へ走る				COMMON	Distractor Frequency	HIGH	run to ~_COMMON_0
running	ランニング				COMMON	Distractor Frequency	HIGH	running_COMMON_0
runny nose	鼻水				COMMON	Distractor Frequency	HIGH	runny nose_COMMON_0
sadness	悲しみ				COMMON	Distractor Frequency	HIGH	sadness_COMMON_0
salmon	サケ				COMMON	Distractor Frequency	HIGH	salmon_COMMON_0
salty	しょっぱい				COMMON	Distractor Frequency	HIGH	salty_COMMON_0
saw	見た				COMMON	Distractor Frequency	HIGH	saw_COMMON_0
Say it again.	もう一度言ってください				COMMON	Distractor Frequency	HIGH	say it again._COMMON_0
schoolbag	かばん				COMMON	Distractor Frequency	HIGH	schoolbag_COMMON_0
science lesson	理科の授業				COMMON	Distractor Frequency	HIGH	science lesson_COMMON_0
see ~	〜を見る				COMMON	Distractor Frequency	HIGH	see ~_COMMON_0
see there	そこを見る				COMMON	Distractor Frequency	HIGH	see there_COMMON_0
See you again.	また会いましょう				COMMON	Distractor Frequency	HIGH	see you again._COMMON_0
See you next week.	また来週				COMMON	Distractor Frequency	HIGH	see you next week._COMMON_0
See you!	お元気で				COMMON	Distractor Frequency	HIGH	see you!_COMMON_0
send ~	～を送る				COMMON	Distractor Frequency	HIGH	send ~_COMMON_0
send A B	AにBを送る				COMMON	Distractor Frequency	HIGH	send a b_COMMON_0
send a letter	手紙を送る				COMMON	Distractor Frequency	HIGH	send a letter_COMMON_0
send a message	メッセージを送る				COMMON	Distractor Frequency	HIGH	send a message_COMMON_0
send A to B	AをBに送る				COMMON	Distractor Frequency	HIGH	send a to b_COMMON_0
Seoul	ソウル				COMMON	Distractor Frequency	HIGH	seoul_COMMON_0
separate A from B	AをBから離す				COMMON	Manual Analysis	HIGH	separate a from b_COMMON_0
seven o'clock	7時				COMMON	Distractor Frequency	HIGH	seven o'clock_COMMON_0
seventy	70				COMMON	Distractor Frequency	HIGH	seventy_COMMON_0
Shall I ~?	〜しましょうか				COMMON	Distractor Frequency	HIGH	shall i ~?_COMMON_0
Shall I answer the phone?	電話に出ましょうか				COMMON	Distractor Frequency	HIGH	shall i answer the phone?_COMMON_0
Shall I close the door?	ドアを閉めましょうか				COMMON	Distractor Frequency	HIGH	shall i close the door?_COMMON_0
Shall I help you?	手伝いましょうか				COMMON	Distractor Frequency	HIGH	shall i help you?_COMMON_0
Shall I sit here?	座りましょうか				COMMON	Distractor Frequency	HIGH	shall i sit here?_COMMON_0
shallowly	浅く				COMMON	Distractor Frequency	HIGH	shallowly_COMMON_0
shape of ~	～の形				COMMON	Distractor Frequency	HIGH	shape of ~_COMMON_0
share	共有する				COMMON	Distractor Frequency	HIGH	share_COMMON_0
share ~	～を共有する				COMMON	Distractor Frequency	HIGH	share ~_COMMON_0
shared	共有の				COMMON	Distractor Frequency	HIGH	shared_COMMON_0
She does too.	彼女も				COMMON	Distractor Frequency	HIGH	she does too._COMMON_0
sheet	シーツ				COMMON	Distractor Frequency	HIGH	sheet_COMMON_0
shoe	くつ				COMMON	Distractor Frequency	HIGH	shoe_COMMON_0
