"English","Japanese","AllMeanings"
"practice doing","～する練習をする","～する練習をする(1)"
"practice with A","Aと練習する","Aと練習する(1)"
"praise A","Aをほめる","Aをほめる(1)"
"prepare ~","～を準備する","～を準備する(2)"
"price list","値段表","値段表(1)"
"promise","約束","約束(53), 約束する(2)"
"promise ~","～を約束する","～を約束する(1)"
"protect","守る","守る(2)"
"protect ~","～を守る","～を守る(1)"
"pudding","プリン","プリン(1)"
"pull ~","～を引く","～を引く(1)"
"push ~","～を押す","～を押す(3)"
"put down ~","置く","置く(1)"
"put on","～の上に置く","～の上に置く(1)"
"put on my clothes","服を着る","服を着る(1)"
"quilt","ふとん","ふとん(1)"
"Quite new.","かなり新しい","かなり新しい(1)"
"rainy season","梅雨","梅雨(1)"
"reach","届く","届く(1)"
"read ~","～を読む","～を読む(2), 〜を読む(1)"
"read a book","本を読む","本を読む(2)"
"read aloud","読み上げる","読み上げる(1)"
"reader","読者","読者(1)"
"reading","読書","読書(2)"
"Really?","本当ですか","本当ですか(1)"
"rectangle","長方形","長方形(1)"
"referee","審判","審判(3)"
"refuse A","Aを断る","Aを断る(1)"
"relatives","親戚","親戚(1), 親せき(1)"
"relaxed","安心した","安心した(2)"
"remember ~","～を覚えている","～を覚えている(1)"
"repair ~","～を修理する","～を修理する(1)"
"repair A","Aを修理する","Aを修理する(1)"
"return to ~","～に戻る","～に戻る(4), ～へ戻る(2)"
"ring finger","薬指","薬指(1)"
"room number","部屋番号","部屋番号(1)"
"run fast","早く走る","早く走る(1), 速く走る(1)"
"run to ~","～へ走る","～へ走る(1), ～まで走る(1), ～まで走って行く(1)"
"running","ランニング","ランニング(1)"
"runny nose","鼻水","鼻水(1)"
"sadness","悲しみ","悲しみ(2)"
"salmon","サケ","サケ(1)"
"salty","しょっぱい","しょっぱい(3)"
"saw","見た","見た(1)"
"Say it again.","もう一度言ってください","もう一度言ってください(1)"
"schoolbag","かばん","かばん(1)"
"science lesson","理科の授業","理科の授業(1)"
"see ~","〜を見る","〜を見る(1)"
"see there","そこを見る","そこを見る(1)"
"See you again.","また会いましょう","また会いましょう(3)"
"See you next week.","また来週","また来週(1), また来週会いましょう(1)"
"See you!","お元気で","お元気で(1)"
"send ~","～を送る","～を送る(2), 送る(1)"
"send A B","AにBを送る","AにBを送る(4)"
"send a letter","手紙を送る","手紙を送る(1)"
"send a message","メッセージを送る","メッセージを送る(1)"
"send A to B","AをBに送る","AをBに送る(1)"
"Seoul","ソウル","ソウル(3)"
"separate A from B","AをBから離す","AをBから離す(1)"
"seven o'clock","7時","7時(1)"
"seventy","70","70(1)"
"Shall I ~?","〜しましょうか","〜しましょうか(1)"
"Shall I answer the phone?","電話に出ましょうか","電話に出ましょうか(1)"
"Shall I close the door?","ドアを閉めましょうか","ドアを閉めましょうか(1)"
"Shall I help you?","手伝いましょうか","手伝いましょうか(1)"
"Shall I sit here?","座りましょうか","座りましょうか(1)"
"shallowly","浅く","浅く(1)"
"shape of ~","～の形","～の形(1)"
"share","共有する","共有する(2)"
"share ~","～を共有する","～を共有する(1)"
"shared","共有の","共有の(1)"
"She does too.","彼女も","彼女も(1)"
"sheet","シーツ","シーツ(1), ベッド(1), 一枚(1)"
"shoe","くつ","くつ(5), 靴(1), ぼうし(1)"
"shoe store","靴屋","靴屋(3)"
"shop at a store","店で買い物をする","店で買い物をする(1)"
"shorts","短パン","短パン(1)"
"shot","注射","注射(1)"
"should do","～するべきだ","～するべきだ(1)"
"shout at ~","～に叫ぶ","～に叫ぶ(1)"
"show ~","見せる","見せる(2)"
"show A to B","AをBに見せる","AをBに見せる(1)"
"shrimp","エビ","エビ(1)"
"sidewalk","歩道","歩道(2)"
"sing a song","歌を歌う","歌を歌う(1)"
"single person","一人","一人(1)"
"sir","～君","～君(1)"
"sit and wait","座って待つ","座って待つ(1)"
"sit before ~","～の前に座る","～の前に座る(1)"
"Sit down.","座ってください","座ってください(2), 座って(1), 座って。(1)"
"sit quietly","静かに座る","静かに座る(1)"
"sit there","そこに座る","そこに座る(1)"
"six o'clock","6時","6時(1)"
"sixty","60","60(1)"
"smaller","より小さい","より小さい(2)"
"smallest","最も小さい","最も小さい(1)"
"smell like ~","～のようなにおいがする","～のようなにおいがする(1)"
"smile at ~","～に笑う","～に笑う(1)"
"snowing","雪が降っている","雪が降っている(1)"
"soccer game","サッカーの試合","サッカーの試合(1)"
"sock","くつした","くつした(1), くつ下(1), 靴下(1)"
"some ~","いくつかの～","いくつかの～(2)"
"somewhere","どこか","どこか(3)"
"sound of ~","～の音","～の音(1)"
"spaceship","宇宙船","宇宙船(1)"
"speak ~","〜を話す","〜を話す(1)"
"speed","速さ","速さ(3)"
"spoke","話した","話した(1)"
"sponge","スポンジ","スポンジ(1)"
"Stand up.","立ってください","立ってください(1)"
"starlight","星明かり","星明かり(1)"
"start ~","～を始める","～を始める(7)"
"start to","〜し始める","〜し始める(1)"
"station worker","駅員","駅員(1)"
"stationery","文房具","文房具(2)"
"stay in ~","～に滞在する","～に滞在する(2)"
"steering wheel","ハンドル","ハンドル(1)"
"stop A from doing","Aが～するのを止める","Aが～するのを止める(1)"
"stop at ~","～で止まる","～で止まる(1)"
"stronger","より強く","より強く(1)"
"strongest","最も強い","最も強い(1)"
"students","学生たち","学生たち(1)"
"study ~","～を勉強する","～を勉強する(1)"
"study abroad","留学","留学(1)"
"study English","英語を勉強する","英語を勉強する(1)"
"studying","勉強","勉強(2)"
"subtract","引く","引く(1)"
"summer vacation","夏休み","夏休み(1)"
"sunflower","ひまわり","ひまわり(2)"
"support A","Aを支える","Aを支える(1)"
"surely","たしかに","たしかに(1)"
"surround A with B","AをBで囲む","AをBで囲む(1)"
"swan","はくちょう","はくちょう(1)"
"swim to ~","～まで泳いで行く","～まで泳いで行く(1)"
"swimming practice","水泳の練習","水泳の練習(1)"
"Sydney","シドニー","シドニー(2)"
"take ~","～を連れて行く","～を連れて行く(1)"
"take a bus","バスに乗る","バスに乗る(1)"
"take a train","電車に乗る","電車に乗る(1)"
"take B out of A","AからBを取り出す","AからBを取り出す(1)"
"take care","気をつけて","気をつけて(1)"
"Take care.","気をつけて","気をつけて(7), お元気で(1)"
"take medicine","くすりをのむ","くすりをのむ(1)"
"take off","脱ぐ","脱ぐ(1)"
"tallest","最も背が高い","最も背が高い(1)"
"taste like ~","～のような味がする","～のような味がする(1)"
"teach ~","～を教える","～を教える(3)"
"teachers","先生たち","先生たち(2)"
"technical school","専門学校","専門学校(1)"
"tell A B","AにBを教える","AにBを教える(1)"
"ten minutes","10分間","10分間(1)"
"ten thousand","1万","1万(1)"
"tennis match","テニスの試合","テニスの試合(1)"
"text","メッセージを送る","メッセージを送る(1)"
"thank you for your call","お電話をありがとう","お電話をありがとう(1)"
"thank you for your email","メールをありがとう","メールをありがとう(1)"
"Thank you for your help.","手伝ってくれてありがとう","手伝ってくれてありがとう(1)"
"thank you for your picture","お写真をありがとう","お写真をありがとう(1)"
"thank you for your present","プレゼントをありがとう","プレゼントをありがとう(1)"
"Thank you.","ありがとう","ありがとう(3), ありがとうございます(2), ありがとうございます。(1), ありがとう。(1)"
"that is","あれは〜です","あれは〜です(1)"
"That is too bad.","残念ですね","残念ですね(1)"
"That looks difficult.","それは難しそうです","それは難しそうです(1)"
"That looks expensive.","それは高そうです","それは高そうです(1)"
"That looks strange.","それは変そうです","それは変そうです(1)"
"That sounds late.","それは遅そうです","それは遅そうです(1)"
"That's easy.","それは簡単です","それは簡単です(1)"
"That's great.","それはすばらしいです","それはすばらしいです(1)"
"That's true.","それは本当です","それは本当です(1)"
"the next day","次の日に","次の日に(1)"
"the other","もう一方の","もう一方の(2)"
"their","彼らの","彼らの(1)"
"theirs","彼らのもの","彼らのもの(1)"
"them","彼らを","彼らを(1)"
"These are expensive.","これらは高いです","これらは高いです(1)"
"These are new.","これらは新しいです","これらは新しいです(1)"
"These are popular.","これらは人気です","これらは人気です(1)"
"These are the same.","これらは同じです","これらは同じです(1)"
"thirteenth","13番目の","13番目の(2)"
"thirty minutes","30分間","30分間(1)"
"this afternoon","今日の午後","今日の午後(1)"
"This book is very easy.","私はそれを知りません","私はそれを知りません(1)"
"this is","これは〜です","これは〜です(1)"
"this month","今月","今月(1)"
"this week","今週","今週(2)"
"this year","今年","今年(1)"
"those","あれら","あれら(1)"
"thought","考え","考え(1)"
"through the school","学校中で","学校中で(1)"
"ticket gate","改札","改札(1)"
"tire","タイヤ","タイヤ(1)"
"to your left","あなたの左に","あなたの左に(1)"
"to your right","あなたの右に","あなたの右に(1)"
"toe","指","指(1)"
"Tokyo","東京","東京(3)"
"tomorrow morning","明日の朝","明日の朝(1)"
"tomorrow night","明日の夜","明日の夜(1)"
"ton","トン","トン(2)"
"tools","道具","道具(1)"
"Toronto","トロント","トロント(1)"
"total","合計","合計(2)"
"tray","お盆","お盆(1)"
"trio","三人組","三人組(1)"
"troubled","困った","困った(1)"
"truck","トラック","トラック(2)"
"trunk","幹","幹(1)"
"trust A","Aを信じる","Aを信じる(1)"
"turn ~ off","～を消す","～を消す(1)"
"turn ~ on","～をつける","～をつける(1)"
"turn ~ up","～の音量を上げる","～の音量を上げる(1)"
"turn down ~","～を断る","～を断る(2)"
"turtle","かめ","かめ(1)"
"twenty minutes","20分間","20分間(1)"
"twice","二度","二度(1)"
"twice a month","1か月に2回","1か月に2回(1)"
"twice a week","1週間に2回","1週間に2回(1), 週に2回(1)"
"twice a year","1年に2回","1年に2回(1)"
"under ~","〜の下に","〜の下に(4), ～の下に(4)"
"until now","今まで","今まで(1)"
"use ~","使う","使う(1), 〜を使う(1)"
"Very fast.","とても速い","とても速い(1)"
"Very good.","とてもよい","とてもよい(1)"
"viewer","観客","観客(1)"
"violet","すみれ","すみれ(1)"
"visit ~","～を訪ねる","～を訪ねる(8), ～を訪れる(8), 〜を訪ねる(2), 訪ねる(1)"
"visit A at B","AをBで訪ねる","AをBで訪ねる(1)"
"volleyball game","バレーボールの試合","バレーボールの試合(1)"
"wait at ~","〜で待つ","〜で待つ(1)"
"wait for","待つ","待つ(1), ～を待つ(1)"
"wait for A","Aを待つ","Aを待つ(1)"
"Wait.","待ってください","待ってください(1), 待って(1)"
"walk slowly","ゆっくり歩く","ゆっくり歩く(1)"
"walk to school","学校へ歩いて行く","学校へ歩いて行く(2)"
"walking","散歩","散歩(2)"
"wall clock","壁掛け時計","壁掛け時計(1)"
"want to","〜したい","〜したい(4), ～したい(1)"
"wants","〜したい","〜したい(1)"
"wash ~","洗う","洗う(3), ～を洗う(1)"
"wash A","Aを洗う","Aを洗う(1)"
"wash dishes","皿を洗う","皿を洗う(1)"
"wash my face","顔を洗う","顔を洗う(3)"
"watch TV","テレビを見る","テレビを見る(1)"
"wave to ~","～に手を振る","～に手を振る(1)"
"we","私たち","私たち(6), 私たちは(1)"
"We can ~.","～できる","～できる(1)"
"we did","私たちは〜しました","私たちは〜しました(1)"
"We do too.","私たちも","私たちも(1)"
"We must ~.","～しなければならない","～しなければならない(1)"
"We want to ~.","～したい","～したい(1)"
"We will ~.","～する予定だ","～する予定だ(1)"
"wear ~","着る","着る(1)"
"weekly","毎週","毎週(1)"
"went","行った","行った(1)"
"we're","私たちは〜です","私たちは〜です(1)"
"What are you eating?","何を食べますか","何を食べますか(1)"
"What color do you like?","何色が好きですか？","何色が好きですか？(1)"
"What day is it today?","今日は何曜日ですか","今日は何曜日ですか(1), 何曜日ですか(1)"
"What do you want?","何がほしいですか？","何がほしいですか？(1)"
"What is the date today?","今日は何日ですか","今日は何日ですか(1)"
"What is this?","これは何ですか","これは何ですか(1)"
"What is your name?","お名前は何ですか？","お名前は何ですか？(1), お名前は何ですか(1)"
"What shall we eat?","何を食べましょうか","何を食べましょうか(1)"
"What time do you get up?","何時に起きますか？","何時に起きますか？(1)"
"What time do you go to school?","何時に学校へ行きますか","何時に学校へ行きますか(1)"
"What time is it now?","今何時ですか","今何時ですか(1)"
"What time is it?","何時ですか？","何時ですか？(4), 今何時ですか(2)"
"What time will you go?","何時に行きますか？","何時に行きますか？(1)"
"What's your name?","お名前は何ですか？","お名前は何ですか？(1), お名前は何ですか(1)"
"When are you coming?","いつ来ますか","いつ来ますか(1)"
"When shall we leave?","いつ出発しましょうか","いつ出発しましょうか(1)"
"When will you go?","いつ行きますか","いつ行きますか(1)"
"when's","いつですか","いつですか(2)"
"Where are you going?","どこへ行くの？","どこへ行くの？(2), どこに行きますか(1), どこへ行くのですか(1)"
"Where are you?","どこですか？","どこですか？(1), どこにいますか(1)"
"Where do you live?","どこに住んでいますか？","どこに住んでいますか？(2), どこに住んでいますか(2)"
"Where is ~?","～はどこですか","～はどこですか(1)"
"Where is it?","どこにありますか","どこにありますか(1)"
"Where is the station?","駅はどこですか","駅はどこですか(2)"
"Where is your school?","学校はどこですか","学校はどこですか(1)"
"Which do you like?","どちらが好きですか","どちらが好きですか(1)"
"which is","どちらですか","どちらですか(1)"
"Which one is yours?","どれがあなたのですか？","どれがあなたのですか？(1)"
"while ~","～する間","～する間(1)"
"whisker","ひげ","ひげ(1)"
"Who are you talking to?","誰と話していますか","誰と話していますか(1)"
"Who do you go to school with?","だれと学校へ行きますか","だれと学校へ行きますか(1)"
"Who is this?","また後で電話します","また後で電話します(1)"
"Who shall we go with?","だれと行きましょうか","だれと行きましょうか(1)"
"Who will come?","だれが来ますか","だれが来ますか(1)"
"who's","だれですか","だれですか(2)"
"Whose is ~?","～はだれのものですか","～はだれのものですか(1)"
"Whose is this?","だれのものですか","だれのものですか(1)"
"why's","なぜですか","なぜですか(2)"
"will do","これから～する","これから～する(1)"
"Will you close the door?","ドアを閉めてくれますか","ドアを閉めてくれますか(1)"
"Will you come here?","ここに来てくれますか","ここに来てくれますか(1)"
"Will you come with me?","来てくれますか","来てくれますか(1)"
"Will you show me?","見せてくれますか","見せてくれますか(1)"
"Will you tell me?","教えてくれますか","教えてくれますか(1)"
"Will you wait a minute?","少し待ってくれますか","少し待ってくれますか(1)"
"Will you wait for me?","待ってくれますか","待ってくれますか(1)"
"witch","魔女","魔女(1)"
"with ~","～といっしょに","～といっしょに(3), 〜といっしょに(1), 〜と一緒に(1)"
"wolf","オオカミ","オオカミ(3)"
"worst","最も悪い","最も悪い(1)"
"write ~","～を書く","～を書く(2), 〜を書く(1)"
"write a letter","手紙を書く","手紙を書く(2)"
"write a name","名前を書く","名前を書く(1)"
"write about ~","〜を書く","〜を書く(1)"
"yesterday morning","昨日の朝","昨日の朝(1), 昨朝(1)"
"you can","あなたは〜できます","あなたは〜できます(1)"
"You too.","あなたも","あなたも(1)"
"youngest","最も若い","最も若い(1)"
"yours","あなたたちのもの","あなたたちのもの(1)"
"yourself","あなた自身","あなた自身(1)"
