"no	grade	word	japanese	description	sentence	japanese_sentence	pos	difficulty	frequency	""[""""年"""",""""月"""",""""週"""",""""日"""",""""時間""""]""	""[""""year"""",""""month"""",""""week"""",""""day"""",""""hour""""]""	""[""""year"""",""""ear"""",""""near"""",""""dear"""",""""yard""""]""	[]	[]"
500518	5	texture	手触り	the way a surface feels	I like the texture of this cloth.	私はこの布の手触りが好きです。	noun	5	3	""[""""手触り"""",""""色"""",""""形"""",""""重さ"""",""""大きさ""""]""	""[""""texture"""",""""color"""",""""shape"""",""""weight"""",""""size""""]""	""[""""texture"""",""""lecture"""",""""mixture"""",""""picture"""",""""teacher""""]""	""[{""""word"""":""""feel"""",""""note"""":""""表面の感じという意味で近い""""}]""	[]"
500519	5	sympathize	同情する	to understand and care about someone's feelings	I sympathize with her after hearing the news.	私はその知らせを聞いて彼女に同情した。	verb	5	3	""[""""同情する"""",""""感謝する"""",""""応援する"""",""""信頼する"""",""""尊敬する""""]""	""[""""sympathize"""",""""appreciate"""",""""support"""",""""trust"""",""""respect""""]""	""[""""sympathize"""",""""summarize"""",""""surprise"""",""""symbolize"""",""""supervise""""]""	""[{""""word"""":""""feel for"""",""""note"""":""""やや口語的な言い方""""}]""	[]"
500520	5	identify with	共感する	to feel that you understand and share someone's feelings	Many students identify with the main character.	多くの生徒がその主人公に共感する。	verb	5	2	""[""""共感する"""",""""反対する"""",""""無視する"""",""""疑う"""",""""批判する""""]""	""[""""identify with"""",""""oppose"""",""""ignore"""",""""doubt"""",""""criticize""""]""	""[""""identify with"""",""""identify"""",""""idea"""",""""idle"""",""""invite""""]""	""[{""""word"""":""""relate to"""",""""note"""":""""気持ちや経験に共感する""""}]""	[]"
500521	5	guilt	罪悪感	the feeling that you have done something wrong	He felt guilt after telling a lie.	彼はうそをついたあと、罪悪感を感じた。	noun	5	3	""[""""罪悪感"""",""""安心"""",""""誇り"""",""""希望"""",""""勇気""""]""	""[""""guilt"""",""""relief"""",""""pride"""",""""hope"""",""""courage""""]""	""[""""guilt"""",""""gift"""",""""gate"""",""""goat"""",""""guide""""]""	""[{""""word"""":""""shame"""",""""note"""":""""恥の気持ち。guiltより広い""""}]""	""[{""""word"""":""""innocence"""",""""note"""":""""罪がないこと""""}]"""
500522	5	be sensitive to	～に敏感である	to notice or react easily to something	He is sensitive to loud sounds.	彼は大きな音に敏感です。	verb	5	3	""[""""～に敏感である"""",""""～に慣れている"""",""""～に興味がある"""",""""～を恐れている"""",""""～に満足している""""]""	""[""""be sensitive to"""",""""be used to"""",""""be interested in"""",""""be afraid of"""",""""be pleased with""""]""	""[""""be sensitive to"""",""""be similar to"""",""""be serious about"""",""""be ready for"""",""""be sorry for""""]""	[]	[]"
500523	5	sympathetic	思いやりのある	kind and understanding to other people	She was sympathetic to my problem.	彼女は私の問題に思いやりを示してくれました。	adjective	5	3	""[""""思いやりのある"""",""""正直な"""",""""活発な"""",""""慎重な"""",""""勇敢な""""]""	""[""""sympathetic"""",""""honest"""",""""active"""",""""careful"""",""""brave""""]""	""[""""sympathetic"""",""""synthetic"""",""""specific"""",""""symbolic"""",""""athletic""""]""	""[{""""word"""":""""kind"""",""""note"""":""""より基本的な語""""},{""""word"""":""""understanding"""",""""note"""":""""気持ちをよく分かる感じ""""}]""	""[{""""word"""":""""unkind"""",""""note"""":""""親切でない""""}]"""
500524	5	boredom	退屈	the feeling of being tired because nothing is interesting	Rainy days often bring boredom.	雨の日はよく退屈をもたらします。	noun	5	2	""[""""退屈"""",""""喜び"""",""""驚き"""",""""不安"""",""""希望""""]""	""[""""boredom"""",""""joy"""",""""surprise"""",""""anxiety"""",""""hope""""]""	""[""""boredom"""",""""border"""",""""burden"""",""""bottom"""",""""balloon""""]""	""[{""""word"""":""""dullness"""",""""note"""":""""やや書き言葉""""}]""	""[{""""word"""":""""excitement"""",""""note"""":""""わくわくする気持ち""""}]"""
500525	5	satisfaction	満足	a happy feeling because something is good	She felt satisfaction after finishing her homework.	彼女は宿題を終えて満足を感じた。	noun	5	3	""[""""満足"""",""""失望"""",""""喜び"""",""""安心"""",""""誇り""""]""	""[""""satisfaction"""",""""disappointment"""",""""pleasure"""",""""relief"""",""""pride""""]""	""[""""satisfaction"""",""""situation"""",""""celebration"""",""""station"""",""""suggestion""""]""	""[{""""word"""":""""pleasure"""",""""note"""":""""より広く「喜び」""""}]""	""[{""""word"""":""""disappointment"""",""""note"""":""""期待どおりでなくがっかりすること""""}]"""
500526	5	disappointment	失望	a sad feeling because something was not as good as you hoped	The game result was a disappointment to the fans.	その試合結果はファンにとって失望だった。	noun	5	3	""[""""失望"""",""""満足"""",""""安心"""",""""希望"""",""""誇り""""]""	""[""""disappointment"""",""""satisfaction"""",""""relief"""",""""hope"""",""""pride""""]""	""[""""disappointment"""",""""department"""",""""development"""",""""agreement"""",""""appointment""""]""	""[{""""word"""":""""letdown"""",""""note"""":""""ややくだけた言い方""""}]""	""[{""""word"""":""""satisfaction"""",""""note"""":""""満ち足りた気持ち""""}]"""
500527	5	under the weather	気分が悪い	feeling a little sick	I stayed home because I was under the weather.	私は気分が悪かったので家にいました。	adjective	5	2	""[""""気分が悪い"""",""""元気な"""",""""眠い"""",""""忙しい"""",""""空腹の""""]""	""[""""under the weather"""",""""healthy"""",""""sleepy"""",""""busy"""",""""hungry""""]""	""[""""under the weather"""",""""over the river"""",""""out of order"""",""""on the way"""",""""after dinner""""]""	""[{""""word"""":""""sick"""",""""note"""":""""より直接的な表現""""},{""""word"""":""""ill"""",""""note"""":""""少しかたい言い方""""}]""	""[{""""word"""":""""healthy"""",""""note"""":""""健康な""""},{""""word"""":""""well"""",""""note"""":""""気分がよい""""}]"""
500528	5	thankful	感謝している	feeling glad and grateful	I am thankful for your help.	私はあなたの助けに感謝しています。	adjective	5	3	""[""""感謝している"""",""""心配している"""",""""退屈している"""",""""怒っている"""",""""驚いている""""]""	""[""""thankful"""",""""careful"""",""""peaceful"""",""""helpful"""",""""useful""""]""	""[""""thankful"""",""""tankful"""",""""careful"""",""""painful"""",""""helpful""""]""	""[{""""word"""":""""grateful"""",""""note"""":""""より一般的な語""""}]""	""[{""""word"""":""""ungrateful"""",""""note"""":""""感謝していない""""}]"""
500529	5	aggressive	攻撃的な	ready to fight or push strongly	The dog became aggressive.	その犬は攻撃的になった。	adjective	6	3	""[""""攻撃的な"""",""""親切な"""",""""静かな"""",""""正直な"""",""""陽気な""""]""	""[""""aggressive"""",""""active"""",""""attractive"""",""""sensitive"""",""""creative""""]""	""[""""aggressive"""",""""active"""",""""attractive"""",""""agreeable"""",""""progressive""""]""	""[{""""word"""":""""hostile"""",""""note"""":""""より強く敵意がある""""}]""	""[{""""word"""":""""gentle"""",""""note"""":""""やさしくおだやか""""}]"""
500530	5	clash	衝突する	to hit together or strongly disagree	The two teams will clash tomorrow.	その2つのチームは明日対戦する。	verb	6	3	""[""""衝突する"""",""""到着する"""",""""説明する"""",""""借りる"""",""""選ぶ""""]""	""[""""clash"""",""""crash"""",""""catch"""",""""cheer"""",""""climb""""]""	""[""""clash"""",""""crash"""",""""class"""",""""flash"""",""""crush""""]""	""[{""""word"""":""""crash"""",""""note"""":""""物がぶつかる意味で近い""""}]""	[]"
500531	5	combat	戦う	to fight against something	They worked together to combat the fire.	彼らは火事と戦うために協力した。	verb	5	3	""[""""戦う"""",""""守る"""",""""隠れる"""",""""逃げる"""",""""集まる""""]""	""[""""combat"""",""""protect"""",""""hide"""",""""escape"""",""""gather""""]""	""[""""combat"""",""""compact"""",""""contact"""",""""command"""",""""compare""""]""	""[{""""word"""":""""fight"""",""""note"""":""""より基本的な語""""}]""	[]"
500532	5	warrior	戦士	a person who fights in a battle	The story is about a brave warrior.	その物語は勇敢な戦士についてです。	noun	5	2	""[""""戦士"""",""""兵士"""",""""王"""",""""農民"""",""""船員""""]""	""[""""warrior"""",""""soldier"""",""""king"""",""""farmer"""",""""sailor""""]""	""[""""warrior"""",""""worker"""",""""worry"""",""""world"""",""""warm""""]""	[]	[]"
500533	5	conclusion	結論	the final decision or idea	We reached a conclusion after the meeting.	私たちは会議のあとで結論に達した。	noun	5	4	""[""""結論"""",""""理由"""",""""方法"""",""""計画"""",""""意見""""]""	""[""""conclusion"""",""""reason"""",""""method"""",""""plan"""",""""opinion""""]""	""[""""conclusion"""",""""confusion"""",""""condition"""",""""connection"""",""""collection""""]""	""[{""""word"""":""""result"""",""""note"""":""""文脈によって近い""""}]""	[]"
500534	5	eventual	最終的な	happening at the end after a long time	The eventual winner smiled on the stage.	最終的な勝者はステージでほほえんだ。	adjective	5	3	""[""""最終的な"""",""""突然の"""",""""重要な"""",""""明確な"""",""""静かな""""]""	""[""""eventual"""",""""sudden"""",""""important"""",""""clear"""",""""quiet""""]""	""[""""eventual"""",""""essential"""",""""usual"""",""""equal"""",""""special""""]""	""[{""""word"""":""""final"""",""""note"""":""""より基本的で「最後の」""""}]""	""[{""""word"""":""""temporary"""",""""note"""":""""一時的な""""}]"""
500535	5	decisive	決定的な	important in making a final result or decision	Her goal was decisive in the game.	彼女のゴールはその試合で決定的だった。	adjective	5	4	""[""""決定的な"""",""""一般的な"""",""""安全な"""",""""穏やかな"""",""""正確な""""]""	""[""""decisive"""",""""general"""",""""safe"""",""""calm"""",""""exact""""]""	""[""""decisive"""",""""delicious"""",""""desert"""",""""design"""",""""device""""]""	""[{""""word"""":""""critical"""",""""note"""":""""結果に大きく関わる""""}]""	""[{""""word"""":""""minor"""",""""note"""":""""重要でない""""}]"""
500536	5	end up	結局〜になる	to finally be in a place or situation	We ended up taking the bus home.	私たちは結局、バスで家に帰ることになった。	verb	5	4	""[""""結局〜になる"""",""""すぐに始める"""",""""完全に忘れる"""",""""静かに座る"""",""""急いで出発する""""]""	""[""""end up"""",""""start at once"""",""""forget completely"""",""""sit quietly"""",""""leave in a hurry""""]""	""[""""end up"""",""""send back"""",""""stand by"""",""""hand out"""",""""turn up""""]""	""[{""""word"""":""""finally become"""",""""note"""":""""説明的な言い換え""""}]""	[]"
500537	5	in conclusion	結論として	used to introduce the final part of what you say or write	In conclusion, we should work together.	結論として、私たちは協力すべきです。	conjunction	5	3	""[""""結論として"""",""""例えば"""",""""突然"""",""""実は"""",""""その間に""""]""	""[""""in conclusion"""",""""for example"""",""""suddenly"""",""""actually"""",""""meanwhile""""]""	""[""""in conclusion"""",""""in condition"""",""""including"""",""""introduction"""",""""conclusion""""]""	""[{""""word"""":""""finally"""",""""note"""":""""会話でより一般的""""},{""""word"""":""""to sum up"""",""""note"""":""""要点をまとめる時に使う""""}]""	[]"
500538	5	accomplish	達成する	to succeed in doing something	She worked hard to accomplish her goal.	彼女は目標を達成するために一生懸命働いた。	verb	5	3	""[""""達成する"""",""""失う"""",""""集める"""",""""隠す"""",""""借りる""""]""	""[""""accomplish"""",""""lose"""",""""collect"""",""""hide"""",""""borrow""""]""	""[""""accomplish"""",""""astonish"""",""""accompany"""",""""complete"""",""""promise""""]""	""[{""""word"""":""""achieve"""",""""note"""":""""最も近い基本語""""},{""""word"""":""""complete"""",""""note"""":""""終える意味が強い""""}]""	""[{""""word"""":""""fail"""",""""note"""":""""達成できない""""}]"""
500539	5	flame	炎	the bright burning part of a fire	A small flame burned in the candle.	ろうそくの中で小さな炎が燃えていた。	noun	5	3	""[""""炎"""",""""煙"""",""""灰"""",""""熱"""",""""光""""]""	""[""""flame"""",""""smoke"""",""""ash"""",""""heat"""",""""light""""]""	""[""""flame"""",""""frame"""",""""plane"""",""""claim"""",""""game""""]""	""[{""""word"""":""""fire"""",""""note"""":""""より広い意味の基本語""""}]""	[]"
500540	5	resolution	決意	a strong decision to do something	She made a resolution to study harder.	彼女はもっと一生懸命勉強すると決意した。	noun	5	3	""[""""決意"""",""""約束"""",""""計画"""",""""意見"""",""""習慣""""]""	""[""""resolution"""",""""promise"""",""""plan"""",""""opinion"""",""""habit""""]""	""[""""resolution"""",""""revolution"""",""""reservation"""",""""relation"""",""""solution""""]""	""[{""""word"""":""""decision"""",""""note"""":""""より一般的な語""""},{""""word"""":""""determination"""",""""note"""":""""強い意志を表す""""}]""	""[{""""word"""":""""indecision"""",""""note"""":""""決められないこと""""}]"""
500541	5	pioneer	先駆者	a person who is one of the first to do something	She was a pioneer in medical research.	彼女は医学研究の先駆者だった。	noun	5	3	""[""""先駆者"""",""""発明家"""",""""研究者"""",""""指導者"""",""""冒険家""""]""	""[""""pioneer"""",""""inventor"""",""""researcher"""",""""leader"""",""""explorer""""]""	""[""""pioneer"""",""""peanut"""",""""player"""",""""poet"""",""""buyer""""]""	""[{""""word"""":""""trailblazer"""",""""note"""":""""新しい道を開く人""""}]""	[]"
500542	5	preliminary	予備の	coming before the main part	We had a preliminary meeting yesterday.	私たちは昨日、予備の会議をした。	adjective	5	2	""[""""予備の"""",""""主要な"""",""""公式の"""",""""最終の"""",""""簡単な""""]""	""[""""preliminary"""",""""main"""",""""official"""",""""final"""",""""simple""""]""	""[""""preliminary"""",""""primary"""",""""probably"""",""""properly"""",""""preference""""]""	""[{""""word"""":""""initial"""",""""note"""":""""最初の段階の""""},{""""word"""":""""early"""",""""note"""":""""初期の意味で近い""""}]""	""[{""""word"""":""""final"""",""""note"""":""""最後の、最終の""""}]"""
500543	5	priority	優先事項	something more important than other things	Safety is our first priority.	安全が私たちの最優先事項です。	noun	5	3	""[""""優先事項"""",""""責任"""",""""方法"""",""""結果"""",""""計画""""]""	""[""""priority"""",""""responsibility"""",""""method"""",""""result"""",""""plan""""]""	""[""""priority"""",""""private"""",""""primary"""",""""property"""",""""probably""""]""	""[{""""word"""":""""main concern"""",""""note"""":""""いちばん大切なこと""""}]""	[]"
500544	5	fin	ひれ	a flat part used for swimming or steering in water	The fish moved its fin slowly.	その魚はひれをゆっくり動かした。	noun	4	2	""[""""ひれ"""",""""うろこ"""",""""えら"""",""""しっぽ"""",""""くちばし""""]""	""[""""fin"""",""""scale"""",""""gill"""",""""tail"""",""""beak""""]""	""[""""fin"""",""""fan"""",""""fun"""",""""pin"""",""""thin""""]""	[]	[]"
500545	5	accommodate	収容する	to provide enough room or space for someone or something	This hotel can accommodate 200 guests.	このホテルは200人の宿泊客を収容できる。	verb	6	2	""[""""収容する"""",""""建てる"""",""""案内する"""",""""招待する"""",""""修理する""""]""	""[""""accommodate"""",""""build"""",""""guide"""",""""invite"""",""""repair""""]""	""[""""accommodate"""",""""communicate"""",""""decorate"""",""""calculate"""",""""celebrate""""]""	""[{""""word"""":""""hold"""",""""note"""":""""中に入れるという意味で近い""""}]""	[]"
500546	5	compatible	相性がよい	able to work well together	This software is compatible with my computer.	このソフトは私のコンピューターに対応している。	adjective	5	3	""[""""相性がよい"""",""""危険な"""",""""高価な"""",""""便利な"""",""""有名な""""]""	""[""""compatible"""",""""dangerous"""",""""expensive"""",""""useful"""",""""famous""""]""	""[""""compatible"""",""""comfortable"""",""""compete"""",""""complete"""",""""company""""]""	""[{""""word"""":""""suitable"""",""""note"""":""""条件や目的に合う""""}]""	""[{""""word"""":""""incompatible"""",""""note"""":""""合わない""""}]"""
500547	5	adjust	調整する	to change something a little to make it better	You should adjust the chair height.	いすの高さを調整したほうがよい。	verb	4	4	""[""""調整する"""",""""修理する"""",""""運ぶ"""",""""選ぶ"""",""""隠す""""]""	""[""""adjust"""",""""repair"""",""""carry"""",""""choose"""",""""hide""""]""	""[""""adjust"""",""""adopt"""",""""admit"""",""""assist"""",""""attach""""]""	""[{""""word"""":""""change"""",""""note"""":""""少し変えて合うようにする""""}]""	[]"
500548	5	stereotype	固定観念	a fixed idea about a group of people	We should not judge people by stereotype.	私たちは固定観念で人を判断するべきではない。	noun	5	2	""[""""固定観念"""",""""証拠"""",""""意見"""",""""習慣"""",""""責任""""]""	""[""""stereotype"""",""""evidence"""",""""opinion"""",""""custom"""",""""responsibility""""]""	""[""""stereotype"""",""""story"""",""""straight"""",""""student"""",""""stomach""""]""	[]	[]"
500549	5	horizontal	水平な	flat and going from side to side	Draw a horizontal line on the paper.	紙に水平な線を引きなさい。	adjective	5	3	""[""""水平な"""",""""垂直な"""",""""曲がった"""",""""丸い"""",""""厚い""""]""	""[""""horizontal"""",""""vertical"""",""""curved"""",""""round"""",""""thick""""]""	""[""""horizontal"""",""""hospital"""",""""historical"""",""""original"""",""""honorable""""]""	""[{""""word"""":""""flat"""",""""note"""":""""平らなという意味で近い""""}]""	""[{""""word"""":""""vertical"""",""""note"""":""""縦の方向""""}]"""
500550	5	tile	タイル	a hard flat piece used on floors or walls	The kitchen floor has blue tile.	その台所の床には青いタイルがあります。	noun	5	3	""[""""タイル"""",""""れんが"""",""""板"""",""""石"""",""""ガラス""""]""	""[""""tile"""",""""brick"""",""""board"""",""""stone"""",""""glass""""]""	""[""""tile"""",""""time"""",""""tie"""",""""tide"""",""""style""""]""	[]	[]"
500551	5	refugee	難民	a person who leaves their country for safety	The country accepted many refugee families.	その国は多くの難民家族を受け入れました。	noun	5	3	""[""""難民"""",""""移民"""",""""旅行者"""",""""兵士"""",""""農家""""]""	""[""""refugee"""",""""immigrant"""",""""traveler"""",""""soldier"""",""""farmer""""]""	""[""""refugee"""",""""referee"""",""""recipe"""",""""memory"""",""""remedy""""]""	[]	[]"
500552	5	departure	出発	the act of leaving a place	Our departure is at seven this morning.	私たちの出発は今朝7時です。	noun	5	3	""[""""出発"""",""""到着"""",""""旅行"""",""""案内"""",""""予約""""]""	""[""""departure"""",""""arrival"""",""""journey"""",""""guide"""",""""reservation""""]""	""[""""departure"""",""""adventure"""",""""department"""",""""picture"""",""""teacher""""]""	""[{""""word"""":""""leaving"""",""""note"""":""""より日常的な言い方""""}]""	""[{""""word"""":""""arrival"""",""""note"""":""""着くこと""""}]"""
500553	5	drift	漂う	to move slowly on water or in air	The boat began to drift away from the shore.	そのボートは岸から離れて漂い始めた。	verb	5	3	""[""""漂う"""",""""沈む"""",""""進む"""",""""止まる"""",""""引く""""]""	""[""""drift"""",""""sink"""",""""move"""",""""stop"""",""""pull""""]""	""[""""drift"""",""""draft"""",""""gift"""",""""lift"""",""""drop""""]""	""[{""""word"""":""""float"""",""""note"""":""""水に浮かんで動く感じ""""}]""	[]"
500554	5	pollen	花粉	fine powder made by flowers	Pollen makes my eyes itchy in spring.	春には花粉で目がかゆくなる。	noun	5	3	""[""""花粉"""",""""種"""",""""葉"""",""""根"""",""""つぼみ""""]""	""[""""pollen"""",""""seed"""",""""leaf"""",""""root"""",""""bud""""]""	""[""""pollen"""",""""fallen"""",""""problem"""",""""golden"""",""""pilot""""]""	[]	[]"
500555	5	soar	急上昇する	to rise quickly to a high level	Prices began to soar last year.	物価は昨年急上昇し始めた。	verb	5	3	""[""""急上昇する"""",""""減少する"""",""""止まる"""",""""広がる"""",""""続く""""]""	""[""""soar"""",""""drop"""",""""stop"""",""""spread"""",""""continue""""]""	""[""""soar"""",""""sore"""",""""sort"""",""""saw"""",""""store""""]""	""[{""""word"""":""""rise"""",""""note"""":""""より基本的な語""""},{""""word"""":""""climb"""",""""note"""":""""数や値が上がる時にも使う""""}]""	""[{""""word"""":""""fall"""",""""note"""":""""上がる⇔下がる""""},{""""word"""":""""drop"""",""""note"""":""""価格や数が下がる""""}]"""
500556	5	concentrate	集中する	to give all your attention to something	Please concentrate on your homework.	宿題に集中してください。	verb	5	4	""[""""集中する"""",""""説明する"""",""""比較する"""",""""準備する"""",""""想像する""""]""	""[""""concentrate"""",""""explain"""",""""compare"""",""""prepare"""",""""imagine""""]""	""[""""concentrate"""",""""celebrate"""",""""calculate"""",""""communicate"""",""""create""""]""	""[{""""word"""":""""focus"""",""""note"""":""""より短くよく使う""""}]""	""[{""""word"""":""""relax"""",""""note"""":""""力を抜く""""},{""""word"""":""""ignore"""",""""note"""":""""注意を向けない""""}]"""
500557	5	attention	注意	careful thought or notice	Pay attention to the teacher.	先生に注意を向けなさい。	noun	4	4	""[""""注意"""",""""努力"""",""""経験"""",""""意見"""",""""方法""""]""	""[""""attention"""",""""effort"""",""""experience"""",""""opinion"""",""""method""""]""	""[""""attention"""",""""action"""",""""addition"""",""""station"""",""""mention""""]""	""[{""""word"""":""""notice"""",""""note"""":""""気づくことの意味で近い""""},{""""word"""":""""care"""",""""note"""":""""注意深さの意味で近い""""}]""	""[{""""word"""":""""carelessness"""",""""note"""":""""不注意""""}]"""
500558	5	conform	従う	to follow rules or customs	Students must conform to the school rules.	生徒は学校の規則に従わなければなりません。	verb	5	2	""[""""従う"""",""""断る"""",""""隠す"""",""""広げる"""",""""疑う""""]""	""[""""conform"""",""""refuse"""",""""hide"""",""""spread"""",""""doubt""""]""	""[""""conform"""",""""confirm"""",""""comfort"""",""""control"""",""""compose""""]""	""[{""""word"""":""""obey"""",""""note"""":""""規則や命令に従うときによく使う""""}]""	""[{""""word"""":""""disobey"""",""""note"""":""""命令や規則に従わない""""}]"""
500559	5	trace back to	さかのぼる	to find the origin of something	This custom can be traced back to ancient times.	この習慣は古代までさかのぼることができます。	verb	5	2	""[""""さかのぼる"""",""""書き留める"""",""""取り替える"""",""""持ち上げる"""",""""見送る""""]""	""[""""trace back to"""",""""write down"""",""""replace"""",""""lift up"""",""""see off""""]""	""[""""trace back to"""",""""take back to"""",""""trade back to"""",""""turn back to"""",""""talk back to""""]""	[]	[]"
500560	5	successive	連続した	coming one after another	We had three successive days of rain.	私たちは雨が3日連続で続きました。	adjective	5	2	""[""""連続した"""",""""突然の"""",""""静かな"""",""""正確な"""",""""公平な""""]""	""[""""successive"""",""""sudden"""",""""quiet"""",""""exact"""",""""fair""""]""	""[""""successive"""",""""successful"""",""""suggestive"""",""""sensitive"""",""""selective""""]""	""[{""""word"""":""""continuous"""",""""note"""":""""切れ目なく続く感じが強い""""}]""	""[{""""word"""":""""separate"""",""""note"""":""""続かず別々の状態""""}]"""
500561	5	in accordance with	〜に従って	following a rule, plan, or request	We acted in accordance with the school rules.	私たちは校則に従って行動した。	preposition	5	3	""[""""〜に従って"""",""""〜の代わりに"""",""""〜のおかげで"""",""""〜に反して"""",""""〜の前に""""]""	""[""""in accordance with"""",""""instead of"""",""""because of"""",""""against"""",""""before""""]""	""[""""in accordance with"""",""""in common with"""",""""according to"""",""""in contact with"""",""""in contrast to""""]""	""[{""""word"""":""""according to"""",""""note"""":""""より基本的な表現""""}]""	""[{""""word"""":""""against"""",""""note"""":""""反対して、従わずに""""}]"""
500562	5	affection	愛情	a feeling of love or liking	Children need affection from their parents.	子どもは親からの愛情を必要とする。	noun	5	3	""[""""愛情"""",""""勇気"""",""""怒り"""",""""希望"""",""""興味""""]""	""[""""affection"""",""""courage"""",""""anger"""",""""hope"""",""""interest""""]""	""[""""affection"""",""""attention"""",""""direction"""",""""collection"""",""""election""""]""	""[{""""word"""":""""love"""",""""note"""":""""より広く基本的な語""""}]""	""[{""""word"""":""""hate"""",""""note"""":""""強い反対の感情""""}]"""
500563	5	bait	えさ	food used to catch fish or animals	He put bait on the hook.	彼は釣り針にえさをつけた。	noun	5	2	""[""""えさ"""",""""網"""",""""針"""",""""舟"""",""""池""""]""	""[""""bait"""",""""net"""",""""hook"""",""""boat"""",""""pond""""]""	""[""""bait"""",""""bat"""",""""bite"""",""""date"""",""""gate""""]""	""[{""""word"""":""""lure"""",""""note"""":""""おびき寄せるためのもの""""}]""	[]"
500564	5	for the time being	当分の間	for now; until the situation changes	We will stay here for the time being.	私たちは当分の間ここに滞在します。	adverb	5	3	""[""""当分の間"""",""""結局"""",""""突然"""",""""少なくとも"""",""""実際に""""]""	""[""""for the time being"""",""""in the end"""",""""all at once"""",""""at least"""",""""in fact""""]""	""[""""for the time being"""",""""for the first time"""",""""from time to time"""",""""for a long time"""",""""at the same time""""]""	""[{""""word"""":""""for now"""",""""note"""":""""より短く日常的""""}]""	[]"
500565	5	for the sake of	〜のために	for the good or benefit of someone or something	She studied hard for the sake of her family.	彼女は家族のために一生懸命勉強しました。	preposition	5	3	""[""""〜のために"""",""""〜の前に"""",""""〜の代わりに"""",""""〜と一緒に"""",""""〜にもかかわらず""""]""	""[""""for the sake of"""",""""before"""",""""instead of"""",""""with"""",""""despite""""]""	""[""""for the sake of"""",""""for the sale of"""",""""for the shape of"""",""""for the name of"""",""""for the face of""""]""	[]	[]"
500566	5	compel	強いる	to force someone to do something	The heavy rain compelled us to stay inside.	大雨のため、私たちは中にいることを強いられました。	verb	6	2	""[""""強いる"""",""""防ぐ"""",""""許す"""",""""助ける"""",""""招く""""]""	""[""""compel"""",""""prevent"""",""""allow"""",""""assist"""",""""invite""""]""	""[""""compel"""",""""compare"""",""""complete"""",""""complain"""",""""compose""""]""	""[{""""word"""":""""force"""",""""note"""":""""より基本的な語""""}]""	""[{""""word"""":""""allow"""",""""note"""":""""無理にさせず許す""""}]"""
500567	5	oblige	義務づける	to make someone do something	The law will oblige drivers to wear seat belts.	その法律は運転者にシートベルトの着用を義務づけるだろう。	verb	5	3	""[""""義務づける"""",""""拒否する"""",""""説明する"""",""""隠す"""",""""修理する""""]""	""[""""oblige"""",""""refuse"""",""""explain"""",""""hide"""",""""repair""""]""	""[""""oblige"""",""""object"""",""""observe"""",""""orange"""",""""arrive""""]""	""[{""""word"""":""""require"""",""""note"""":""""より一般的な語""""},{""""word"""":""""force"""",""""note"""":""""より強い意味""""}]""	""[{""""word"""":""""allow"""",""""note"""":""""許可する""""},{""""word"""":""""refuse"""",""""note"""":""""することを断る""""}]"""
500568	5	impose on	押しつける	to force something on someone	Don't impose your ideas on others.	自分の考えをほかの人に押しつけてはいけません。	verb	5	2	""[""""押しつける"""",""""受け入れる"""",""""共有する"""",""""集める"""",""""選ぶ""""]""	""[""""impose on"""",""""accept"""",""""share"""",""""collect"""",""""choose""""]""	""[""""impose on"""",""""improve on"""",""""important"""",""""impossible"""",""""impress""""]""	""[{""""word"""":""""force on"""",""""note"""":""""無理に与える""""}]""	""[{""""word"""":""""share"""",""""note"""":""""分け合う""""},{""""word"""":""""accept"""",""""note"""":""""受け入れる""""}]"""
500569	5	eternal	永遠の	lasting forever	They dreamed of eternal peace.	彼らは永遠の平和を夢見た。	adjective	5	2	""[""""永遠の"""",""""短い"""",""""静かな"""",""""深い"""",""""柔らかい""""]""	""[""""eternal"""",""""short"""",""""quiet"""",""""deep"""",""""soft""""]""	""[""""eternal"""",""""internal"""",""""external"""",""""general"""",""""natural""""]""	""[{""""word"""":""""endless"""",""""note"""":""""終わりがない""""},{""""word"""":""""forever"""",""""note"""":""""副詞としてよく使う""""}]""	""[{""""word"""":""""temporary"""",""""note"""":""""一時的な""""},{""""word"""":""""short"""",""""note"""":""""短い期間の""""}]"""
500570	5	excuse A for B	AをBのことで許す	to forgive A because of B	Please excuse me for being late.	遅れたことを許してください。	verb	5	2	""[""""AをBのことで許す"""",""""AをBに加える"""",""""AをBに変える"""",""""AをBに任せる"""",""""AをBから守る""""]""	""[""""excuse A for B"""",""""blame A for B"""",""""thank A for B"""",""""choose A for B"""",""""pay A for B""""]""	""[""""excuse A for B"""",""""exclude A from B"""",""""exchange A for B"""",""""accept A from B"""",""""excite A with B""""]""	""[{""""word"""":""""forgive A for B"""",""""note"""":""""より直接的に「AをBのことで許す」""""}]""	""[{""""word"""":""""blame A for B"""",""""note"""":""""「AをBのことで責める」""""}]"""
500571	5	treaty	条約	a formal agreement between countries	The two countries signed a peace treaty.	その2国は平和条約に署名した。	noun	5	2	""[""""条約"""",""""法律"""",""""会議"""",""""貿易"""",""""政府""""]""	""[""""treaty"""",""""law"""",""""meeting"""",""""trade"""",""""government""""]""	""[""""treaty"""",""""treat"""",""""tree"""",""""truly"""",""""twenty""""]""	""[{""""word"""":""""agreement"""",""""note"""":""""より広い意味の語""""}]""	[]"
